,Date,Heure,ID,followers,is_user_verified,len,like,location,name,retweets,source,tweet
89,13-Nov-2020,12:04:09,1.3272207076344013e+18,1367.0,0.0,140.0,0.0,,franckthiebaux,7.0,Twitter for iPhone,RT @brigitte_kuster: Question au ministre sur les difficultés des agents #immobiliers à cause du #confinement qui réduit fortement leur act…
90,13-Nov-2020,11:57:36,1.3272190593190748e+18,4603.0,0.0,127.0,0.0,"Metz, France",The_best_man_57,0.0,Twitter Web App,"Comment la crise électrise Emmanuel Macron.
#Macron #EmmanuelMacron #Coronavirus #Covid19 #Confinement… https://t.co/K6QE5DHLR1"
91,13-Nov-2020,11:48:33,1.3272167818706985e+18,241.0,0.0,140.0,0.0,Saint-Martin,MeureeClara,6.0,Twitter for iPhone,"RT @SudRadio: [#SudRadio] #GrandMatinSudRadio 
@nabil_hedar, président de la Confédération des Jeunes Engagés

🗣️""On nous dit que la deuxiè…"
92,13-Nov-2020,11:47:39,1.327216554833023e+18,13580.0,1.0,140.0,0.0,Paris,LaurentVimont,7.0,Twitter for iPhone,RT @brigitte_kuster: Question au ministre sur les difficultés des agents #immobiliers à cause du #confinement qui réduit fortement leur act…
93,13-Nov-2020,11:46:41,1.3272163083756626e+18,171.0,0.0,140.0,0.0,,Carobou347,81.0,Twitter for Android,"RT @Nantes_Revoltee: 🔴PREMIER MINISTRE : USINE À FAKE NEWS

- Nouveau mensonge d'Etat ce soir : la preuve en images -

#Castex #confinement…"
94,13-Nov-2020,11:38:53,1.3272143483481047e+18,314.0,0.0,140.0,0.0,"Ile-de-France, France",hubdelareussite,2.0,Twitter Web App,"RT @EcoReseau: Benjamin Chkroun, président-fondateur du Hub de la Réussite « Je ne crois pas à l’ascenseur social… mais à l’escalier » 📌htt…"
95,13-Nov-2020,11:38:26,1.3272142353367613e+18,1608.0,0.0,144.0,0.0,la mayenne mayenne ,JpLeScornet,4.0,Twitter for iPhone,RT @Mayenne_Ville: La ministre @1ElisaMoreno &amp; le Gouvernement ont lancé une campagne de communication à destination des personnes #LGBT+ p…
96,13-Nov-2020,11:31:30,1.3272124899023217e+18,184.0,0.0,140.0,0.0,,Ladove4,10.0,Twitter for iPhone,"RT @ChasseursFrance: Lettre ouverte à @barbarapompili, @Ecologie_Gouv et @J_Denormandie, @Agri_Gouv de la part de la @FNSEA, les @Chambagri…"
97,13-Nov-2020,11:31:20,1.3272124480263987e+18,9329.0,0.0,135.0,0.0,,agefiactifs,1.0,Hootsuite Inc.,🏠 Le président de la @FNAIM redoute les conséquences sur le secteur de l'#Immobilier en cas de prolongement du… https://t.co/VpCldICLV8
98,13-Nov-2020,11:27:47,1.327211554824188e+18,2490.0,0.0,140.0,0.0,"Enghien-les-Bains, Val d’Oise",b_chkroun,2.0,Twitter for iPhone,"RT @EcoReseau: Benjamin Chkroun, président-fondateur du Hub de la Réussite « Je ne crois pas à l’ascenseur social… mais à l’escalier » 📌htt…"
